contract_id;start_date;end_date;termination_reason;is_b2b
579963087873;2015-12-09;;nan;n
888147547733;2010-03-24;;nan;n
473499758890;2012-01-04;;nan;y
067544252642;2014-11-25;;nan;n
589270917802;2011-07-18;;nan;y
134087923951;2013-09-03;;nan;n
169942879352;2015-03-09;;nan;n
008225486913;2011-01-11;;nan;n
622997581988;2014-02-26;2018-08-08;death;n
161068380188;2013-03-31;;nan;n
974147226941;2014-02-13;2018-02-11;too expensive;n
533332514243;2010-03-11;2018-09-30;low quality;n
935904779291;2014-03-01;;nan;n
220518547525;2012-08-02;;nan;n
033819233633;2016-08-31;;nan;n
635708599203;2017-10-26;2018-05-24;death;n
550459834337;2011-02-23;;nan;y
541703461791;2011-10-04;;nan;n
925505853867;2017-05-17;2018-03-14;too expensive;n
987063077245;2014-07-09;;nan;n
178016426318;2011-11-02;2018-04-15;low quality;n
134290328860;2015-10-02;2018-02-22;death;n
914489746657;2012-11-26;;nan;n
083730332212;2012-10-29;;nan;n
598531137505;2011-05-12;;nan;n
984297381232;2017-08-01;2018-07-13;low quality;n
487107812527;2010-11-02;2018-06-26;low quality;n
524777305738;2012-10-26;2018-11-21;death;n
581440215632;2010-11-17;;nan;n
982715208957;2016-11-26;;nan;n
135836555052;2014-10-03;2018-12-31;too expensive;y
087227018729;2012-09-14;;nan;y
548762149041;2013-06-28;;nan;n
537373525480;2016-08-03;;nan;y
362843708248;2011-07-27;;nan;n
704166594238;2012-12-25;;nan;n
148270279743;2010-10-06;2018-03-01;too expensive;n
815290730971;2016-11-22;;nan;n
893881818689;2016-12-11;2018-08-10;low quality;n
568849188249;2015-05-25;;nan;y
694681730165;2016-03-31;;nan;n
053169261972;2014-09-18;2018-05-13;low quality;n
502867719948;2011-07-26;;nan;n
957485501607;2012-12-09;;nan;y
393156740177;2017-11-09;2018-10-07;low quality;n
478400355724;2017-05-28;;nan;n
162333929705;2016-09-29;;nan;n
133485359669;2010-10-06;;nan;n
592771204216;2016-06-11;;nan;n
566592262201;2012-10-17;;nan;n
090891010157;2015-11-12;2018-06-19;too expensive;n
384591911867;2015-06-23;;nan;n
928185655122;2017-04-23;;nan;n
602549621140;2012-07-21;;nan;n
383620338728;2012-05-24;2018-11-19;low quality;y
212263198426;2016-03-03;;nan;n
940019064323;2016-11-16;;nan;n
981404137633;2012-03-08;;nan;n
484771049995;2014-06-23;;nan;n
383910122557;2016-10-06;;nan;n
249231755879;2017-09-25;;nan;n
392965976978;2015-05-17;;nan;n
034386250732;2012-10-24;;nan;y
422443666459;2012-11-24;;nan;n
208599620910;2016-03-01;;nan;n
441142902236;2015-03-10;;nan;n
704940939514;2013-01-25;;nan;n
762414883778;2015-09-20;;nan;n
778255460630;2015-09-16;2018-07-31;low quality;n
625075242817;2014-06-25;;nan;y
069531997603;2017-05-11;;nan;n
703921736345;2017-10-02;;nan;n
452620656365;2014-12-28;;nan;y
654413286482;2011-05-22;;nan;n
537350851241;2010-04-09;2018-07-28;too expensive;n
760438989325;2011-12-25;;nan;n
927578846431;2016-05-04;2018-01-05;too expensive;n
593709246066;2010-09-01;2018-05-17;low quality;n
716808668584;2011-08-20;;nan;n
350127273015;2013-06-04;;nan;y
076023795223;2011-04-13;;nan;n
100073033121;2014-10-16;2018-12-21;too expensive;n
047715450918;2013-02-11;;nan;n
246715087182;2016-09-14;;nan;n
927342362943;2015-04-25;;nan;n
925725452804;2016-07-01;;nan;n
363442505304;2010-09-25;;nan;n
566257251704;2014-09-22;;nan;n
599948851090;2017-08-13;;nan;n
201559960031;2015-08-14;;nan;y
226840709450;2010-07-06;;nan;n
575624388801;2010-05-25;;nan;n
519500063855;2014-03-11;2018-12-23;death;y
168746002628;2011-08-18;;nan;y
172951414520;2011-06-04;;nan;n
524952417730;2010-03-31;2018-12-17;death;n
894464874555;2010-05-11;;nan;y
793978303401;2017-05-13;2018-08-27;too expensive;y
798797658425;2010-10-27;;nan;n
130901681801;2016-04-18;;nan;n
991554395099;2013-03-01;;nan;n
506510916321;2013-04-07;;nan;n
354827405659;2014-05-25;;nan;n
854590235452;2011-08-12;;nan;n
915256882517;2014-07-06;;nan;n
427356319517;2010-04-28;;nan;n
412490804820;2014-10-25;;nan;n
402323712275;2016-04-09;;nan;n
029000910412;2017-02-12;;nan;n
