contract_id;ticket_start_date;ticket_end_date;ticket_type
254291412469;2012-11-11;2016-10-18;technical support
741695246658;2015-07-27;2017-02-24;billing
950097439890;2017-08-25;2017-12-14;technical support
800270703292;2018-12-27;2018-12-28;upgrade
510761575705;2017-10-22;2018-07-04;technical support
552702495613;2016-11-19;2018-02-06;upgrade
892482390872;2016-10-21;2018-03-22;technical support
202009788130;2018-09-22;2018-10-09;technical support
002071520683;2017-07-27;2017-08-26;upgrade
376594705188;2013-01-28;2016-01-05;billing
315116437546;2017-12-04;2018-05-31;billing
065860632452;2014-08-11;2018-11-06;technical support
534203673161;2014-12-30;2018-07-31;upgrade
293802984030;2015-06-09;2018-10-30;billing
615815002156;2014-06-10;2016-08-01;upgrade
156975860153;2015-08-22;2017-11-19;upgrade
138179025878;2014-10-29;2016-02-19;technical support
233620796902;2014-10-08;2017-08-21;technical support
045964526099;2016-09-23;2017-02-19;technical support
052798911584;2016-12-26;2018-10-29;technical support
980359277999;2015-12-26;2016-02-22;technical support
440486039364;2017-03-20;2017-12-31;billing
714882262130;2018-12-12;2018-12-18;billing
704748306947;2018-01-29;2018-02-09;billing
104467711405;2017-08-20;2018-03-27;upgrade
980734393241;2017-01-02;2018-03-21;technical support
116147890848;2016-01-25;2018-07-16;billing
672772915987;2014-12-04;2016-08-19;technical support
212062096623;2016-05-15;2018-06-04;technical support
103660676003;2010-07-03;2012-11-26;upgrade
010816015574;2017-05-25;2018-02-11;technical support
535540162691;2014-12-04;2017-06-05;technical support
629649410158;2015-09-15;2018-11-18;billing
046821259400;2017-07-01;2018-08-11;billing
100873478775;2016-05-23;2018-03-19;billing
494683994538;2018-11-09;2018-11-16;technical support
205007020865;2013-09-25;2014-09-04;upgrade
306760177203;2017-08-22;2018-08-01;technical support
528914988749;2011-12-28;2017-10-10;technical support
717194160392;2016-02-21;2016-06-12;billing
591112076742;2015-09-26;2017-05-01;technical support
783129367098;2017-04-22;2018-01-09;technical support
187804190860;2015-01-26;2016-01-22;technical support
015085058963;2015-09-29;2016-10-01;technical support
242325150163;2014-03-15;2017-08-23;technical support
641799185324;2018-03-13;2018-06-02;technical support
695727144156;2018-06-11;2018-12-25;technical support
737297747475;2018-05-06;2018-09-02;billing
136475078208;2018-09-19;2018-10-27;billing
685444088851;2017-06-15;2018-06-20;technical support
153372864976;2018-02-21;2018-11-29;technical support
308382300235;2018-04-28;2018-11-26;billing
987513166959;2018-02-25;2018-09-21;technical support
031452694671;2015-10-30;2018-12-19;technical support
792566595951;2014-01-22;2014-06-26;technical support
461912060749;2012-09-15;2016-04-24;technical support
314675581993;2017-10-24;2018-10-25;technical support
701207843962;2017-03-08;2018-03-04;billing
079509094784;2017-10-02;2018-08-05;technical support
436576744255;2015-06-17;2017-08-09;technical support
598225687429;2014-03-26;2017-01-07;technical support
558808169467;2018-07-27;2018-09-27;billing
494515039927;2014-01-24;2016-11-13;billing
119955345579;2017-11-19;2018-10-09;technical support
243990888272;2014-06-13;2017-06-03;technical support
299096540675;2015-01-02;2018-02-15;technical support
634698555783;2018-02-02;2018-03-15;billing
601267995088;2012-07-12;2014-07-14;technical support
991959084679;2012-11-02;2014-04-12;technical support
423193799974;2014-07-05;2016-10-01;technical support
223905183140;2013-03-17;2016-05-02;technical support
